Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Patient-cdp1000807.json	181	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	189	0	0	0	0	0	0
fsh-generated/resources/Patient-cdp138.json	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	202	0	0	0	0	0	0
fsh-generated/resources/Patient-cdp2007860.json	181	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	151	0	0	0	0	0	0
fsh-generated/resources/Patient-cdp2007964.json	2110	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	126	147	0	0	0	0	0	0
fsh-generated/resources/Patient-cdp2008844.json	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	112	0	0	0	0	0	0
fsh-generated/resources/Patient-cdp2009597.json	54	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	65	146	0	0	0	0	0	0
fsh-generated/resources/Person-ajf1000001.json	2436	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	190	159	0	0	0	0	0	0
fsh-generated/resources/Person-ajf242.json	2173	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	146	175	0	0	0	0	0	0
fsh-generated/resources/Practitioner-Practitioner-stf39.json	1121	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	100	180	0	0	0	0	0	0
fsh-generated/resources/Practitioner-stf2007723.json	165	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	44	135	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-PractitionerRole-Physiotherapist.json	7563	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	328	178	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-PractitionerRole-agb1000203.json	5458	4	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	219	171	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-agb1000043.json	63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	197	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-agb1000204.json	5278	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	156	206	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-agb1000456.json	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	222	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-agb103.json	164	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	31	223	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-agb27.json	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	199	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-agb42.json	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	122	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-agb57.json	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	151	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-agb59.json	162	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	196	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-agb61.json	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	169	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-ain1000001.json	1960	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	111	167	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-ain1000003.json	1959	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	151	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-aoz1000067cdp1000063.json	2486	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	130	100	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-aoz2007976cdp2009597.json	2718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	106	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-agc1002251.json	157	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	55	136	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-agc48.json	152	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	79	212	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AppointmentReschedulingPeriodExtension.json	1063	7	0	7	0	0	0	0	0	33	0	0	1	0	0	0	0	0	0	0	671	12619	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-BankAccountNumber1.json	988	0	0	9	2	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	624	1510	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-BankAccountNumber2.json	988	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	597	1583	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BedTime.json	941	0	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	570	1394	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BedTypeId.json	960	4	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	840	1445	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ContactTypeExtension.json	3960	2	0	16	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	2414	1365	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-DIPSAppointment.json	12584	2	0	205	0	0	0	0	0	32	0	0	1	0	0	0	0	1	0	0	8745	2072	0	0	1	22	1	0
